"name","yugoslav first league","yugoslav first league","yugoslav cup","yugoslav cup","european cup","european cup","total","total"
"name","apps","goals","apps","goals","apps","goals","apps","goals"
"goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers"
"socialist federal republic of yugoslavia stevan stojanovic","33","0","8","0","9","0","50","0"
"socialist federal republic of yugoslavia milic jovanovic","3","0","0","0","0","0","3","0"
"socialist federal republic of yugoslavia zeljko kaluđerovic","0","0","0","0","1","0","1","0"
"defenders","defenders","defenders","defenders","defenders","defenders","defenders","defenders","defenders"
"romania miodrag belodedici","34","1","8","0","9","0","51","1"
"socialist federal republic of yugoslavia dusko radinovic","30","0","7","0","8","1","45","1"
"socialist federal republic of yugoslavia ilija najdoski","32","2","5","1","6","0","43","3"
"socialist federal republic of yugoslavia slobodan marovic","27","1","7","0","9","0","43","1"
"socialist federal republic of yugoslavia refik sabanadzovic","26","0","5","0","8","0","39","0"
"socialist federal republic of yugoslavia rade tosic","11","0","0","0","1","0","12","0"
"socialist federal republic of yugoslavia goran vasilijevic","7","0","3","0","2","0","12","0"
"socialist federal republic of yugoslavia aleksandar ilic","1","0","0","0","0","0","1","0"
"midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders"
"socialist federal republic of yugoslavia vlada stosic","35","4","7","0","9","0","51","4"
"socialist federal republic of yugoslavia vladimir jugovic","32","7","7","0","9","0","48","7"
"socialist federal republic of yugoslavia robert prosinecki","29","12","6","2","9","4","44","18"
"socialist federal republic of yugoslavia dejan savicevic","25","8","6","3","7","3","38","14"
"socialist federal republic of yugoslavia sinisa mihajlovic","14","1","3","1","5","1","22","3"
"socialist federal republic of yugoslavia ivica momcilovic","13","0","1","0","1","0","15","0"
"socialist federal republic of yugoslavia dejan joksimovic","5","0","1","0","0","0","6","0"
"socialist federal republic of yugoslavia ivan adzic","4","1","0","0","0","0","4","1"
"socialist federal republic of yugoslavia dusko savic","2","0","0","0","0","0","2","0"
"socialist federal republic of yugoslavia đorđe acimovic","1","0","0","0","0","0","1","0"
"forwards","forwards","forwards","forwards","forwards","forwards","forwards","forwards","forwards"
"socialist federal republic of yugoslavia darko pancev","32","34","7","6","9","5","48","45"
"socialist federal republic of yugoslavia dragisa binic","27","14","6","4","9","2","42","20"
"socialist federal republic of yugoslavia ljubisa milojevic","8","1","0","0","0","0","8","1"
"socialist federal republic of yugoslavia vladan lukic","4","1","0","0","0","0","4","1"
"players sold or loaned out during the season","players sold or loaned out during the season","players sold or loaned out during the season","players sold or loaned out during the season","players sold or loaned out during the season","players sold or loaned out during the season","players sold or loaned out during the season","players sold or loaned out during the season","players sold or loaned out during the season"
"socialist federal republic of yugoslavia mitar mrkela","1","0","2","1","0","0","3","1"
"socialist federal republic of yugoslavia goran juric","8","0","3","0","1","0","12","0"
"socialist federal republic of yugoslavia enes besic","3","0","1","0","0","0","4","0"
"socialist federal republic of yugoslavia slavisa cula","2","0","2","0","0","0","4","0"
"socialist federal republic of yugoslavia milorad ratkovic","1","0","1","0","0","0","2","0"
