"club","season","league","league","league","cup","cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"motherwell","2014-15","premiership","0","0","0","0","0","0","0","0","0","0"
"ayr united","2014-15","league one","7","1","0","0","0","0","0","0","7","1"
"livingston","2015-16","championship","23","0","2","0","2","0","4","0","31","0"
"livingston","2016-17","league one","7","0","0","0","0","0","2","0","9","0"
"livingston","total","total","30","0","2","0","2","0","6","0","40","0"
"stranraer","2016-17","league one","13","0","1","0","0","0","0","0","14","0"
"stranraer","2017-18","league one","35","1","1","0","3","1","2","0","43","2"
"stranraer","total","total","50","1","2","0","3","1","2","0","59","2"
"stenhousemuir","2018-19","league one","28","1","2","0","4","1","1","0","35","2"
"career total","career total","career total","113","3","6","0","6","2","9","0","141","5"
