"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"barnsley","2000-01","first division","7","0","0","0","0","0","-","-","7","0"
"barnsley","2001-02","first division","1","0","0","0","0","0","-","-","1","0"
"barnsley","2002-03","second division","16","0","0","0","0","0","1","0","17","0"
"barnsley","2003-04","second division","43","3","5","1","1","0","2","0","51","4"
"barnsley","2004-05","league one","39","6","1","0","2","0","1","0","43","6"
"barnsley","2005-06","league one","36","1","3","0","2","0","4","0","45","1"
"barnsley","2006-07","championship","32","1","0","0","1","0","-","-","33","1"
"barnsley","total","total","174","11","9","1","6","0","8","0","197","12"
"tranmere rovers","2007-08","league one","38","6","4","1","0","0","1","0","43","7"
"tranmere rovers","2008-09","league one","44","11","4","1","1","0","4","0","53","12"
"tranmere rovers","total","total","82","17","8","2","1","0","5","0","96","19"
"huddersfield town","2009-10","league one","40","6","3","0","2","0","3","0","48","6"
"huddersfield town","2010-11","league one","27","3","4","1","1","0","8","1","40","5"
"huddersfield town","2011-12","league one","28","1","1","0","0","0","2","0","31","1"
"huddersfield town","total","total","95","10","8","1","3","0","13","1","119","12"
"milton keynes dons","2012-13","league one","33","1","6","0","2","0","1","0","42","1"
"milton keynes dons","2013-14","league one","30","2","2","0","1","0","1","0","34","2"
"milton keynes dons","2014-15","league one","45","1","1","0","3","0","0","0","49","1"
"milton keynes dons","2015-16","championship","34","2","1","0","1","0","-","-","36","2"
"milton keynes dons","total","total","142","6","10","0","7","0","2","0","161","6"
"bury","2016-17","league one","42","0","2","0","1","0","2","1","47","1"
"port vale","2017-18","league two","33","3","3","1","1","0","0","0","37","4"
"port vale","2018-19","league two","26","2","0","0","1","0","5","0","32","2"
"port vale","total","total","59","5","3","1","2","0","5","0","69","6"
"career total","career total","career total","594","49","40","5","20","0","35","2","689","56"
