"year","immigrant class","immigrant class","immigrant class","immigrant class","immigrant class"
"year","family class","economic class","business class","refugees","other"
"year","percent","percent","percent","percent","percent"
"2001","14.3","38.2","45.5","1.7","0.3"
"2002","12.8","42.3","42.2","2.4","0.3"
"2003","14.6","47.3","34.2","3.5","0.5"
"2004","16.9","52.2","26.5","4.0","0.4"
"2005","19.0","54.9","21.5","4.2","0.4"
"2006","19.2","57.7","17.8","4.8","0.5"
"2007","21.5","57.3","15.1","5.7","0.4"
"2008","22.4","58.0","12.8","6.2","0.6"
"2009","23.0","58.3","11.5","6.7","0.5"
"2010","23.2","58.5","10.6","7.3","0.4"
