"select characteristics","require","require","require"
"select characteristics","require","require","require"
"select characteristics","one","two","three or more"
"select characteristics","percent","percent","percent"
"total - aged 25 to 64 years","44.9","27.9","27.2"
"25 to 44 years","45.6","28.0","26.4"
"45 to 64 years","44.3","27.9","27.8"
"sex","","",""
"men","51.8","25.8","22.4"
"women","40.4","29.3","30.3"
"severity of disability","","",""
"less severe","52.3","28.1","19.6"
"more severe","34.1","27.7","38.2"
"number of disability types","","",""
"1","56.3","27.2","16.5"
"2 or 3","49.4","28.1","22.5"
"4 or more","30.0","28.3","41.7"
"occupation","","",""
"management and finance","37.9","32.5","29.6"
"professional occupations in applied sciences, health, education, law, and sport","41.0","28.6","30.4"
"sales and customer service","50.4","26.8","22.8"
"trades, transportation, natural resources, manufacturing, utilities, and related","57.7","20.6","21.7"
