"","depreciation rate","depreciation rate","expected life","expected life"
"","ex post simultaneous estimation","ex ante declining-balance rate from simultaneous estimation","ex post simultaneous estimation","ex ante survey"
"","rate","rate","years","years"
"asset description and code","","","",""
"plants for manufacturing, processing and assembling goods","0.072","0.082","29.2","25.4"
"warehouses, refrigerated storage, freight terminals","0.064","0.082","33.0","25.4"
"maintenance garages, workshops, equipment storage facilities","0.066","0.077","31.8","27.2"
"office buildings","0.067","0.078","31.4","27.0"
"shopping centres, plazas, malls, stores","0.156","0.091","14.9","25.8"
"autres constructions industrielles et commerciales","0.096","0.095","21.8","22.1"
"telephone and cablevision lines, underground and marine cables","0.137","0.164","19.4","16.2"
"communication towers, antennae, earth stations","0.099","0.133","27.0","20.1"
"mean, all assets","0.097","0.092","25.6","25.1"
