"club","season","league","league","league","national cup","national cup","league cup","league cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"al mokawloon al arab","2009-10","egyptian premier league","3","0","2","0","-","-","5","0","none","none"
"al mokawloon al arab","2010-11","egyptian premier league","20","4","4","1","-","-","24","5","none","none"
"al mokawloon al arab","2011-12","egyptian premier league","15","7","0","0","-","-","15","7","none","none"
"al mokawloon al arab","total","total","38","11","6","1","-","-","44","12","none","none"
"basel","2012-13","swiss super league","29","5","5","3","-","-","16","2","50","10"
"basel","2013-14","swiss super league","18","4","1","1","-","-","10","5","29","10"
"basel","total","total","47","9","6","4","-","-","26","7","79","20"
"chelsea","2013-14","premier league","10","2","1","0","0","0","0","0","11","2"
"chelsea","2014-15","premier league","3","0","1","0","2","0","2","0","8","0"
"chelsea","total","total","13","2","2","0","2","0","2","0","19","2"
"fiorentina","2014-15","serie a","16","6","2","2","-","-","8","1","26","9"
"roma","2015-16","serie a","34","14","1","0","-","-","7","1","42","15"
"roma","2016-17","serie a","31","15","2","2","-","-","8","2","41","19"
"roma","total","total","65","29","3","2","0","0","15","3","83","34"
"liverpool","2017-18","premier league","36","32","1","1","0","0","15","11","52","44"
"liverpool","2018-19","premier league","36","21","1","0","1","0","10","4","48","25"
"liverpool","total","total","72","53","2","1","1","0","25","15","100","69"
"career total","career total","career total","251","110","21","10","3","0","76","26","351","146"
