"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"bristol city","1945-46","-","0","0","6","1","0","0","6","1"
"newcastle united","1946-47","second division","36","19","6","3","0","0","42","22"
"newcastle united","1947-48","second division","12","3","0","0","0","0","12","3"
"newcastle united","total","total","48","22","6","3","0","0","54","25"
"chelsea","1947-48","first division","14","3","1","0","0","0","15","3"
"chelsea","1948-49","first division","40","21","3","2","0","0","43","23"
"chelsea","1949-50","first division","39","17","6","5","0","0","45","22"
"chelsea","1950-51","first division","38","8","5","3","0","0","43","11"
"chelsea","1951-52","first division","32","12","9","5","0","0","41","17"
"chelsea","1952-53","first division","37","12","7","5","0","0","44","17"
"chelsea","1953-54","first division","41","21","1","0","0","0","42","21"
"chelsea","1954-55","first division","41","22","3","0","0","0","44","22"
"chelsea","1955-56","first division","38","14","7","1","1","1","46","16"
"chelsea","1956-57","first division","4","0","0","0","0","0","4","0"
"chelsea","total","total","324","130","42","21","1","1","367","152"
"fulham","1956-57","second division","32","14","2","1","0","0","34","15"
"fulham","1957-58","second division","31","7","7","1","0","0","38","8"
"fulham","1958-59","second division","35","0","4","0","0","0","39","0"
"fulham","1959-60","first division","29","2","2","0","0","0","31","2"
"fulham","1960-61","first division","15","0","0","0","1","0","16","0"
"fulham","total","total","142","23","15","2","1","0","158","25"
"queens park rangers","1961-62","third division","29","0","4","0","1","0","34","0"
"queens park rangers","1962-63","third division","16","0","2","0","0","0","18","0"
"queens park rangers","total","total","45","0","6","0","1","0","52","0"
"career total","career total","career total","559","175","75","27","3","1","637","203"
