"sex, age group and type of smoker","1991","1991","1991","2001","2001","2001","2012","2012","2012"
"sex, age group and type of smoker","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval"
"sex, age group and type of smoker","%","from","to","%","from","to","%","from","to"
"sex","","","","","","","","",""
"male","","","","","","","","",""
"daily smoker","64","62","66","62","59","65","51","47","55"
"occasional smoker","8","7","9","7","5","8","10","8","11"
"non-smoker","29","27","31","31","29","34","39","35","44"
"female","","","","","","","","",""
"daily smoker","64","62","66","61","57","64","53","49","57"
"occasional smoker","7","6","8","6","4","7","9","7","12"
"non-smoker","28","26","30","33","30","37","38","34","41"
"age group","","","","","","","","",""
"15 to 24","","","","","","","","",""
"daily smoker","65","63","67","66","62","69","55","51","60"
"occasional smoker","8","7","9","7","6","9","12","9","15"
"non-smoker","27","26","29","27","24","30","33","28","38"
"25 to 34","","","","","","","","",""
"daily smoker","69","67","71","66","59","71","62","58","66"
"occasional smoker","8","6","9","5","4","7","12","9","16"
"non-smoker","23","21","25","29","23","36","26","22","30"
"35 to 44","","","","","","","","",""
"daily smoker","65","63","67","66","61","70","56","50","62"
"occasional smoker","9","8","10","6","4","8","7","5","10"
"non-smoker","26","24","28","28","24","33","37","30","43"
"45 to 54","","","","","","","","",""
"daily smoker","61","59","63","55","47","63","60","52","68"
"occasional smoker","4","4","5","7","4","12","10","7","15"
"non-smoker","34","32","36","38","31","45","30","22","38"
"55 to 64","","","","","","","","",""
"daily smoker","51","49","53","43","36","51","34","24","46"
"occasional smoker","7","6","8","4","2","7","5","3","10"
"non-smoker","42","40","44","53","45","61","61","49","72"
"65 or older","","","","","","","","",""
"daily smoker","42","40","44","35","29","43","12","7","19"
"occasional smoker","6","5","7","6","3","10","f","..",".."
"non-smoker","51","49","53","59","51","66","85","77","90"
