"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"manchester city","1957-58","first division","1","0","0","0","0","0","1","0"
"manchester city","1958-59","first division","4","1","0","0","0","0","4","1"
"manchester city","total","total","5","1","0","0","0","0","5","1"
"port vale","1960-61","third division","34","11","3","1","2","1","39","13"
"port vale","1961-62","third division","4","1","0","0","0","0","4","1"
"port vale","total","total","38","12","3","1","2","1","43","14"
"grimsby town","1961-62","third division","9","3","1","0","0","0","10","3"
"halifax town","1962-63","third division","13","2","0","0","0","0","13","2"
"halifax town","1963-64","fourth division","38","10","1","0","3","2","42","12"
"halifax town","1964-65","fourth division","43","11","2","0","1","0","46","11"
"halifax town","1965-66","fourth division","41","13","1","0","1","0","43","13"
"halifax town","1966-67","fourth division","8","3","0","0","2","0","10","3"
"halifax town","total","total","143","39","4","0","7","2","154","41"
"darlington","1966-67","third division","23","3","3","1","0","0","26","4"
"darlington","1967-68","third division","11","0","1","0","2","1","14","1"
"darlington","total","total","34","3","4","1","2","1","40","5"
"macclesfield town","1968-69","northern premier league","25","10","2","0","15","4","42","14"
"macclesfield town","1969-70","northern premier league","25","4","3","0","26","7","54","11"
"macclesfield town","1970-71","northern premier league","34","9","1","0","23","10","58","19"
"macclesfield town","total","total","84","23","6","0","64","21","154","44"
"career total","career total","career total","311","81","18","2","75","25","404","108"
