"","distribution","distribution","distribution","distribution"
"","businesses owned by immigrants","businesses owned by immigrants","businesses owned by non-immigrants","businesses owned by non-immigrants"
"","number","percent","number","percent"
"industry","","","",""
"agriculture, forestry, fishing and hunting","13,560","1.9","320,400","11.5"
"mining, quarrying, and oil and gas extraction","420","0.1","4,360","0.2"
"utilities","330","0.0","2,620","0.1"
"construction","50,340","6.9","177,170","6.3"
"manufacturing","9,990","1.4","34,470","1.2"
"wholesale trade","7,680","1.0","27,510","1.0"
"retail trade","41,020","5.6","141,850","5.1"
"transportation and warehousing","48,040","6.6","69,230","2.5"
"information and cultural industries","7,050","1.0","30,780","1.1"
"finance and insurance","16,100","2.2","47,120","1.7"
"real estate and rental and leasing","257,090","35.1","919,280","32.9"
"professional, scientific and technical services","69,140","9.4","283,510","10.1"
"management of companies and enterprises","40","0.0","120","0.0"
"administrative and support, waste management and remediation services","95,660","13.1","252,650","9.0"
"educational services","8,680","1.2","26,940","1.0"
"health care and social assistance","56,270","7.7","198,230","7.1"
"arts, entertainment and recreation","11,920","1.6","90,770","3.2"
"accommodation and food services","7,880","1.1","27,720","1.0"
"other services","31,120","4.2","140,930","5.0"
"all industries","732,330","100.0","2,795,660","100.0"
