"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"chesterfield","1978-79","third division","1","0","0","0","0","0","1","0"
"port vale","1980-81","fourth division","10","0","0","0","0","0","10","0"
"port vale","1981-82","fourth division","4","0","2","0","2","0","8","0"
"port vale","total","total","14","0","2","0","2","0","18","0"
"hartlepool united","1982-83","fourth division","4","1","0","0","1","0","5","1"
"rochdale","1982-83","fourth division","11","2","0","0","0","0","11","2"
"rochdale","1983-84","fourth division","22","4","2","0","2","0","26","4"
"rochdale","total","total","33","6","2","0","2","0","37","6"
"chester city","1984-85","fourth division","19","1","1","0","2","0","22","1"
