"club","season","league","league","league","cup","cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"melbourne victory","2012-13","a-league","11","0","0","0","0","0","11","0"
"melbourne victory","2013-14","a-league","19","0","0","0","3","0","22","0"
"melbourne victory","2014-15","a-league","13","1","2","0","0","0","15","1"
"melbourne victory","2015-16","a-league","11","0","2","0","3","0","16","0"
"melbourne victory","2016-17","a-league","0","0","1","0","0","0","1","0"
"melbourne victory","victory total","victory total","54","1","5","0","6","0","65","1"
"central coast mariners","2016-17","a-league","24","2","0","0","0","0","24","2"
"wellington phoenix","2017-18","a-league","22","0","1","0","0","0","23","0"
"adelaide united","2018-19","a-league","1","1","4","0","0","0","5","1"
"total","total","total","101","4","10","0","6","0","117","4"
