"movie","actor","actor","actor","actor","actor","actor","actor","actor","actor"
"movie","emilio estevez","anthony michael hall","rob lowe","andrew mccarthy","demi moore","judd nelson","molly ringwald","ally sheedy","close contributors"
"the outsiders","keith "two-bit" mathews","none","sodapop patrick curtis","none","none","none","none","none","matt dillon, patrick swayze, tom cruise, c. thomas howell, ralph macchio"
"class","none","none","franklin "skip" burroughs iv","jonathan ogner","none","none","none","none","john cusack"
"sixteen candles","none","farmer ted","none","none","none","none","samantha baker","none","john cusack, jami gertz"
"oxford blues","none","none","nick de angelo","none","none","none","none","rona","none"
"the breakfast club","andrew clark","brian johnson","none","none","none","john bender","claire standish","allison reynolds","none"
"st. elmo's fire","kirby keger","none","billy hicks","kevin dolenz","julianna "jules" van patten","alec newbury","none","leslie hunter","mare winningham"
"pretty in pink","none","none","none","blaine mcdonough","none","none","andie walsh","none","jon cryer, james spader"
"blue city","none","none","none","none","none","billy turner","none","annie rayford","none"
"about last night..","none","none","danny martin","none","debbie sullivan","none","none","none","none"
"wisdom","john wisdom","none","none","none","karen simmons","none","none","none","charlie sheen"
"fresh horses","none","none","none","matt larkin","none","none","jewel","none","none"
"betsy's wedding","none","none","none","none","none","none","betsy","connie","none"
