"characteristic","obtaining a certificate","continuing in the program","discontinuing the program"
"characteristic","predicted probability","predicted probability","predicted probability"
"sex","","",""
"male","0.357","0.309","0.334"
"female","0.404","0.279","0.317"
"age at registration","","",""
"18 to 20 years","0.400","0.312","0.293"
"21 to 25 years","0.381","0.303","0.316"
"26 to 35 years","0.350","0.303","0.347"
"36 to 45 years","0.324","0.306","0.370"
"46 years or older","0.305","0.285","0.411"
"immigration status","","",""
"non-immigrant","0.363","0.300","0.337"
"immigrant","0.362","0.348","0.291"
"marital status in registration year","","",""
"single","0.358","0.312","0.331"
"married or common-law","0.378","0.290","0.332"
"divorced, separated or widowed","0.338","0.306","0.357"
"registered outside the province or territory of residence","","",""
"no","0.365","0.303","0.332"
"yes","0.329","0.333","0.339"
"received credits for pre-registration training","","",""
"no","0.310","0.321","0.369"
"yes","0.438","0.277","0.285"
"employment income in registration year","","",""
"less than $15,000","0.220","0.345","0.435"
"$15,000 to $29,999","0.348","0.323","0.329"
"$30,000 to $44,999","0.444","0.282","0.275"
"$45,000 to $59,999","0.458","0.266","0.276"
"$60,000 to $74,999","0.440","0.261","0.299"
"$75,000 or more","0.401","0.269","0.330"
"union membership in registration year","","",""
"no","0.361","0.293","0.346"
"yes","0.367","0.321","0.312"
"had a registered pension plan in registration year","","",""
"no","0.359","0.308","0.333"
"yes","0.375","0.295","0.329"
"received employment insurance benefits in registration year","","",""
"no","0.360","0.304","0.336"
"yes","0.370","0.306","0.325"
"after-tax low-income status in registration year","","",""
"not in low income","0.366","0.305","0.329"
"in low income","0.306","0.316","0.378"
"number of industries worked in registration year","","",""
"one","0.392","0.315","0.293"
"two","0.355","0.298","0.347"
"three or more","0.300","0.285","0.415"
"worked in one the three most common sectors in registration year","","",""
"no","0.315","0.304","0.381"
"yes","0.382","0.305","0.313"
"red seal endorsement and type of certification","","",""
"compulsory red seal trade","0.394","0.304","0.302"
"voluntary red seal trade","0.347","0.314","0.340"
"compulsory non-red seal trade","0.290","0.388","0.322"
"voluntary non-red seal trade","0.340","0.271","0.390"
"program duration","","",""
"one year","0.339","0.529","0.131"
"two years","0.302","0.465","0.233"
"three years","0.315","0.282","0.403"
"four years","0.392","0.213","0.395"
"five years","0.425","0.073","0.502"
