"","business","farming","professional","rental","fishing"
"","number","number","number","number","number"
"1989","25,806","-4,815","5,297","642","-1,889"
"1990","31,823","-14,478","8,133","174","-2,906"
"1991","3,238","-3,582","3,117","11,196","-835"
"1992","40,165","-1,968","6,004","18,766","2,626"
"1993","45,593","3,662","7,163","19,367","-1,362"
"1994","65,089","1,384","8,156","18,932","315"
"1995","48,370","-102","10,619","3,596","-1,235"
"1996","65,303","-466","4,168","9,609","-1,680"
"1997","68,009","-1,076","5,930","11,210","-2,718"
"1998","42,757","-6,655","3,973","7,514","-2,593"
"1999","22,434","-4,848","2,424","3,469","1,449"
"2000","10,895","-1,264","-446","-3,019","107"
"2001","12,379","1,840","-2,122","4,267","-153"
"2002","5,576","-7,144","124","10,998","247"
"2003","42,192","-15,564","1,812","18","-145"
"2004","16,195","-4,833","-1,347","-2,031","-827"
"2005","46,183","-263","-2,706","-3,511","-2,223"
"2006","21,600","-8,772","-2,834","-4,289","-1,668"
"2007","54,943","3,059","-3,547","-3,435","-266"
"2008","6,271","-1,796","-1,291","3,437","-1,683"
"2009","-19,428","-3,688","-4,073","23,236","-1,566"
"2010","28,707","-1,075","913","13,293","331"
"annual average","31,095","-3,293","2,249","6,520","-849"
