"","full sample","full sample","men","men","women","women"
"","mean","standard deviation","mean","standard deviation","mean","standard deviation"
"demographics","","","","","",""
"age","47.5","9.7","47.7","9.8","47.1","9.4"
"female","24.5","43.0","0.0","0.0","100.0","0.0"
"highest degree","","","","","",""
"doctorate","81.6","38.7","83.0","37.5","77.3","41.9"
"professional","0.5","7.4","0.5","7.2","0.6","7.9"
"master's","14.2","34.9","13.0","33.7","18.0","38.4"
"below master's","3.6","18.6","3.4","18.2","4.1","19.8"
"rank","","","","","",""
"assistant professor","24.0","42.7","20.4","40.3","35.2","47.8"
"associate professor","39.7","48.9","38.4","48.6","43.7","49.6"
"full professor","36.3","48.1","41.2","49.2","21.1","40.8"
"other job traits","","","","","",""
"unionized","69.6","46.0","67.4","46.9","76.6","42.3"
"has responsibilities","11.6","32.0","12.1","32.6","10.1","30.2"
"compensation","","","","","",""
"salary","","","","","",""
"full sample","116,750","29,750","118,750","29,750","110,700","28,850"
"assistant professor","89,350","19,000","89,200","19,050","89,600","18,900"
"associate professor","111,900","21,100","111,350","20,650","113,350","22,250"
"full professor","140,250","25,150","140,250","24,950","140,300","26,350"
"salary growth","","","","","",""
"full sample","2.7","5.6","2.5","5.6","3.3","5.5"
"assistant professor","3.4","4.8","3.3","4.8","3.7","4.8"
"associate professor","2.8","5.3","2.6","5.3","3.3","5.3"
"full professor","2.2","6.1","2.0","6.0","3.0","6.6"
