"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"leeds united","1970-71","first division","1","0","0","0","0","0","2","0","2","0"
"leeds united","1971-72","first division","12","0","2","0","0","0","0","0","14","0"
"leeds united","1972-73","first division","26","9","1","0","2","0","7","3","34","12"
"leeds united","1973-74","first division","33","7","5","2","2","0","4","0","44","9"
"leeds united","1974-75","first division","29","4","6","0","4","0","9","2","48","6"
"leeds united","1975-76","first division","17","2","0","0","0","0","0","0","17","2"
"leeds united","1976-77","first division","32","10","5","2","1","0","0","0","38","12"
"leeds united","1977-78","first division","20","3","0","0","3","3","0","0","23","6"
"leeds united","total","total","170","35","19","4","12","3","22","5","223","47"
"manchester united","1977-78","first division","14","3","2","0","0","0","0","0","16","3"
"manchester united","1978-79","first division","30","6","5","2","2","2","0","0","37","10"
"manchester united","1979-80","first division","32","13","2","0","2","0","0","0","36","13"
"manchester united","1980-81","first division","33","15","3","0","0","0","1","0","37","15"
"manchester united","total","total","109","37","12","2","4","2","1","0","126","41"
"milan","1981-82","serie a","22","2","0","0","0","0","0","0","22","2"
"milan","1982-83","serie b","30","10","0","0","0","0","0","0","30","10"
"milan","total","total","52","12","0","0","0","0","0","0","52","12"
"hellas verona","1983-84","serie a","12","1","0","0","0","0","0","0","12","1"
"hellas verona","total","total","12","1","0","0","0","0","0","0","12","1"
"southampton","1984-85","first division","34","12","3","2","7","2","1","0","45","16"
"southampton","1985-86","first division","12","0","0","0","2","0","2","0","16","0"
"southampton","1986-87","first division","2","0","0","0","1","1","1","0","4","1"
"southampton","total","total","48","12","3","2","10","3","4","0","65","17"
"bristol city","1986-87","third division","19","3","0","0","0","0","5","4","24","7"
"bristol city","1987-88","third division","28","4","1","0","2","0","6","0","37","4"
"bristol city","1988-89","third division","9","1","0","0","6","0","0","0","15","1"
"bristol city","1989-90","third division","1","0","0","0","0","0","0","0","1","0"
"bristol city","total","total","57","8","1","0","8","0","11","4","77","12"
"career total","career total","career total","448","105","35","8","34","8","38","9","555","130"
