"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"southend united","1983-84","third division","3","0","0","0","1","0","4","0"
"fulham","1986-87","third division","3","0","0","0","0","0","3","0"
"ipswich town","1980-81","first division","6","0","0","0","2","0","8","0"
"ipswich town","1981-82","first division","18","1","1","0","3","1","22","2"
"ipswich town","1982-83","first division","9","0","2","0","0","0","11","0"
"ipswich town","1983-84","first division","5","0","0","0","1","0","6","0"
"ipswich town","1984-85","first division","6","0","0","0","0","0","6","0"
"ipswich town","1985-86","first division","6","0","0","0","2","0","8","0"
"ipswich town","total","total","50","1","3","0","8","1","61","2"
"west bromwich albion","1986-87","second division","10","0","0","0","0","0","10","0"
"west bromwich albion","1987-88","second division","4","0","0","0","2","0","6","0"
"west bromwich albion","total","total","14","0","0","0","2","0","16","0"
"port vale","1987-88","third division","20","0","5","0","1","0","26","0"
"career total","career total","career total","90","1","8","0","12","1","110","2"
