"","percentage of persons in households that are very satisfied or satisfied with the neighbourhood"
"gender",""
"male","85.7"
"female","85.9"
"age group",""
"0 to 14 years","85.3"
"15 to 24 years","84.2"
"25 to 34 years","83.4"
"35 to 44 years","84.5"
"45 to 54 years","84.5"
"55 to 64 years","87.2"
"65 to 74 years","89.2"
"75 years and older","91.3"
"marital status",""
"married","87.5"
"living common law","85.8"
"never married","84.3"
"separated/divorced/widowed","85.0"
"highest level of education",""
"less than high school graduation","85.9"
"high school diploma or equivalent","85.3"
"apprenticeship or trades certificate or diploma and college, cegep or other non-university certificate or diploma","85.5"
"university certificate, diploma or degree","86.5"
"main activity in the last 12 months",""
"working at a paid job or self-employed","85.7"
"looking for job","79.0"
"going to school","84.0"
"keeping house, caring for other family members","85.0"
"retired","90.1"
"other","81.7"
"visible minority",""
"visible minority","80.8"
"not a visible minority","87.6"
"aboriginal identity",""
"aboriginal","84.3"
"non-aboriginal","85.8"
"veteran status",""
"veteran","87.7"
"currently a member of the canadian armed forces","84.7"
"never had canadian military service","85.8"
