"state","all r&d","paid for by the company","paid for by others",""
"united states","322528","264913","57615",""
"alabama","1563","802","761",""
"alaska","46","33","12","e"
"arizona","5208","4036","1172",""
"arkansas","288","252","36",""
"california","89373","76851","12522",""
"colorado","4522","3869","652",""
"connecticut","8010","5789","2221",""
"delaware","2310","1705","605",""
"district of columbia","488","297","191",""
"florida","5795","3900","1894","i"
"georgia","4023","3350","673","i"
"hawaii","214","158","57",""
"idaho","1238","908","331",""
"illinois","13096","11961","1136",""
"indiana","6479","5482","997",""
"iowa","2052","1498","554",""
"kansas","1942","1321","621",""
"kentucky","1279","917","362",""
"louisiana","354","275","79","i"
"maine","365","314","51",""
"maryland","4770","2665","2105",""
"massachusetts","17395","14000","3395",""
"michigan","15925","14409","1517",""
"minnesota","6614","6057","557",""
"mississippi","211","183","28",""
"missouri","7174","3570","3605","i"
