"","women","women","women","women","men","men","men","men"
"","bottom 90%","next 5%","next 4%","top 1%","bottom 90%","next 5%","next 4%","top 1%"
"","percent","percent","percent","percent","percent","percent","percent","percent"
"age","","","","","","","",""
"25 to 34","21.7","10.1","7.4","4.1","22.5","13.7","9.6","3.6"
"35 to 44","21.4","28.3","26.6","22.9","20.4","27.7","25.4","19.7"
"45 to 54","23.1","35.8","37.1","39.2","21.2","32.3","33.4","36.1"
"55 to 64","16.4","21.6","23.6","25.8","16.5","21.0","24.5","29.4"
"65 or older","3.5","4.0","5.1","7.9","5.1","4.7","6.7","11.2"
"visible minority","","","","","","","",""
"visible minority","21.7","17.1","15.6","13.8","22.5","14.4","13.1","10.9"
"not a visible minority","78.3","82.9","84.4","86.2","77.5","85.6","86.9","89.1"
"immigrant status","","","","","","","",""
"non-immigrants","75.1","77.1","76.9","76.9","73.6","78.7","78.7","78.3"
"immigrants","23.6","22.5","22.6","22.2","24.7","20.8","20.6","20.2"
"non-permanent residents","1.3","0.3","0.5","0.9","1.6","0.5","0.6","1.5"
"aboriginal identity","","","","","","","",""
"aboriginal identity","4.0","2.9","2.0","1.3","3.6","3.0","2.4","1.1"
"non-aboriginal identity","96.0","97.1","98.0","98.7","96.4","97.0","97.6","98.9"
