"club","season","league","league","league","fai cup","fai cup","league cup","league cup","other","other","total","total"
"club","season","league","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"ucd","2004","first division","4","3","0","0","0","0","","","4","3"
"ucd","2005","premier division","5","1","0","0","0","0","","","5","1"
"ucd","2006","premier division","14","2","3","0","1","1","","","18","3"
"ucd","2007","premier division","19","7","2","0","0","0","","","21","7"
"ucd","2008","premier division","15","3","0","0","0","0","","","15","3"
"ucd","total","total","57","16","5","0","1","1","","","63","17"
"sporting fingal","2008","first division","14","2","2","0","0","0","","","16","2"
"sporting fingal","total","total","14","2","2","0","0","0","","","16","2"
"bray wanderers","2009","premier division","24","2","2","1","0","0","2","0","28","3"
"bray wanderers","total","total","24","2","2","1","0","0","2","0","28","3"
"st. patrick's athletic","2010","premier division","25","4","1","0","1","0","6","2","33","6"
"st. patrick's athletic","total","total","25","4","1","0","1","0","6","2","33","6"
"ballarat red devils","2011","victoria 2nw","4","1","0","0","0","0","","","4","1"
"ballarat red devils","total","total","4","1","0","0","0","0","","","4","1"
"monaghan united","2011","first division","4","0","1","0","0","0","1","0","6","0"
"monaghan united","total","total","4","0","1","0","0","0","1","0","6","0"
"shelbourne","2012","premier division","11","1","3","0","1","0","1","1","16","2"
"shelbourne","total","total","11","1","3","0","1","0","1","1","16","2"
"career total","career total","career total","139","26","14","1","3","1","10","3","166","31"
