"year","single","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","album"
"year","single","uk","bel","ger","ita","us alt","album"
"2004","none","none","none","none","none","none","none"
"2004","at 1am","-","-","-","-","-","young for eternity"
"2005","oh yeah","25","-","-","-","-","young for eternity"
"2005","rock & roll queen","22","-","92","37","29","young for eternity"
"2005","with you","29","-","-","-","-","young for eternity"
"2005","no goodbyes","27","-","-","-","-","young for eternity"
"2008","girls & boys","-","-","-","-","-","all or nothing"
"2008","alright","44","-","-","-","-","all or nothing"
"2008","i won't let you down","137","-","-","-","-","all or nothing"
"2011","we don't need money to have a good time","-","63","-","-","-","money and celebrity"
"2012","it's a party!","-","-","-","-","-","money and celebrity"
"2012","kiss kiss bang bang","-","-","-","-","-","money and celebrity"
"2014","my heart is pumping to a brand new beat","-","-","-","-","-","the subways"
"2014","i'm in love and it's burning in my soul","-","-","-","-","-","the subways"
"2015","taking all the blame","-","-","-","-","-","the subways"
""-" denotes releases that did not chart or were not released in that territory",""-" denotes releases that did not chart or were not released in that territory",""-" denotes releases that did not chart or were not released in that territory",""-" denotes releases that did not chart or were not released in that territory",""-" denotes releases that did not chart or were not released in that territory",""-" denotes releases that did not chart or were not released in that territory",""-" denotes releases that did not chart or were not released in that territory",""-" denotes releases that did not chart or were not released in that territory"
