"detailed motivation","2014","2014","2015","2015","2016","2016"
"detailed motivation","number","percent","number","percent","number","percent"
"race/ethnicity","611","48","641","48","666","48"
"black","238","19","224","17","214","15"
"east or southeast asian","52","4","49","4","61","4"
"south asian","49","4","48","4","72","5"
"arab or west asian","69","5","92","7","112","8"
"aboriginal","37","3","35","3","30","2"
"white","49","4","38","3","36","3"
"other","106","8","130","10","125","9"
"race not specified","11","1","25","2","16","1"
"religion","429","34","469","35","460","33"
"jewish","213","17","178","13","221","16"
"muslim","99","8","159","12","139","10"
"catholic","35","3","55","4","27","2"
"other","49","4","41","3","37","3"
"religion not specified","33","3","36","3","36","3"
"sexual orientation","155","12","141","11","176","13"
"other","77","6","86","6","88","6"
"unknown","23","..","25","..","19",".."
"total","1,295","100","1,362","100","1,409","100"
