"cause","total canada","total canada","total canada","first nations living on reserve","first nations living on reserve","first nations living on reserve","first nations living off reserve","first nations living off reserve","first nations living off reserve","metis","metis","metis","inuit living in inuit nunangat","inuit living in inuit nunangat","inuit living in inuit nunangat","non-aboriginal population","non-aboriginal population","non-aboriginal population"
"cause","ashr","95% confidence interval","95% confidence interval","ashr","95% confidence interval","95% confidence interval","ashr","95% confidence interval","95% confidence interval","ashr","95% confidence interval","95% confidence interval","ashr","95% confidence interval","95% confidence interval","ashr","95% confidence interval","95% confidence interval"
"cause","ashr","from","to","ashr","from","to","ashr","from","to","ashr","from","to","ashr","from","to","ashr","from","to"
"all causes combined","523","518","528","839","819","859","646","615","679","644","609","682","666","617","719","478","473","483"
"diseases of digestive system","52","51","54","76","70","83","53","45","63","56","46","67","70","55","88","49","48","51"
"injuries","56","54","58","109","102","117","81","71","93","83","71","97","92","75","113","48","46","50"
"unintentional injuries","47","46","49","97","90","104","66","56","77","71","60","84","79","63","98","40","38","41"
"diseases of respiratory system","139","136","141","288","277","300","203","186","221","194","175","215","255","225","288","117","114","119"
"diseases of circulatory system","5","5","5","8","6","10","7","4","11","6","4","11","x","x","x","5","4","5"
"mental and behavioural disorders","5","4","5","3","2","5","5","3","9","5","3","10","x","x","x","5","4","5"
"endocrine, nutritional and metabolic diseases","12","11","12","12","10","15","11","8","16","13","9","19","x","x","x","12","11","12"
"diseases of genitourinary system","15","14","16","28","25","32","24","18","30","24","18","32","x","x","x","13","12","14"
"diseases of musculoskeletal system and connective tissue","10","10","11","13","10","15","13","10","19","12","8","18","17","11","27","10","9","11"
