"rank","athlete","attempts","attempts","attempts","attempts","attempts","attempts","result","note"
"rank","athlete","1","2","3","4","5","6","result","note"
"","udo beyer","20.38","20.50","20.49","x","21.05","20.45","21.05 m",""
"","yevgeny mironov","19.67","20.38","20.14","20.17","21.03","20.66","21.03 m",""
"","aleksandr baryshnikov","20.53","20.27","21.00","20.96","20.58","x","21.00 m",""
"4","al feuerbach","19.74","20.55","20.07","20.21","20.10","20.32","20.55 m",""
"5","hans-peter gies","19.98","20.19","20.47","20.45","20.11","20.13","20.47 m",""
"6","geoff capes","20.15","20.21","20.36","20.32","20.31","x","20.36 m",""
"7","george woods","20.13","19.97","20.20","20.26","x","19.87","20.26 m",""
"8","hans hoglund","20.17","20.10","19.85","19.61","x","x","20.17 m",""
"","","","","","","","","",""
"9","peter shmock","19.77","19.89","19.26","","","","19.89 m","none"
"10","heinz-joachim rothenburg","19.26","19.79","x","","","","19.79 m","none"
"11","jaroslav brabec","19.62","19.53","x","","","","19.62 m","none"
"12","reijo stahlberg","18.78","18.99","18.82","","","","18.99 m","none"
