"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"west bromwich albion","1950-51","first division","0","0","0","0","0","0","0","0"
"walsall","1956-57","third division south","40","1","1","0","0","0","41","1"
"walsall","1957-58","third division south","44","1","1","0","0","0","45","1"
"walsall","1958-59","fourth division","45","1","1","0","0","0","46","1"
"walsall","1959-60","fourth division","35","0","2","0","0","0","37","0"
"walsall","1960-61","third division","18","1","1","0","1","0","20","1"
"walsall","1961-62","second division","2","1","0","0","0","0","2","1"
"walsall","1962-63","second division","16","0","0","0","0","0","16","0"
"walsall","total","total","200","5","6","0","1","0","207","5"
"port vale","1963-64","third division","19","1","3","0","0","0","22","1"
"port vale","1964-65","third division","12","1","1","0","1","0","14","1"
"port vale","total","total","31","2","4","0","1","0","36","2"
"career total","career total","career total","231","7","10","0","2","0","243","7"
