"","federal skilled workers","provincial nominees","quebec skilled workers","canadian experience class"
"","percent","percent","percent","percent"
"first full year after immigration","","","",""
"all","80.1","92.5","76.7","95.0"
"no pre-landing canadian earnings","76.2","85.3","71.1",""
"low pre-landing canadian earnings","86.0","91.0","87.1","82.9"
"medium pre-landing canadian earnings","93.4","96.6","95.6","94.1"
"high pre-landing canadian earnings","96.8","97.5","97.2","97.4"
"fifth year after immigration","","","",""
"all","85.6","91.5","87.4","91.9"
"no pre-landing canadian earnings","84.4","87.5","86.5",""
"low pre-landing canadian earnings","84.9","91.0","89.6","81.7"
"medium pre-landing canadian earnings","90.8","94.7","93.3","91.6"
"high pre-landing canadian earnings","93.5","95.3","93.5","94.2"
