"","immigrant class","immigrant class","immigrant class","immigrant class","immigrant class"
"","family","economic","business","dependants","refugees"
"","percent distribution","percent distribution","percent distribution","percent distribution","percent distribution"
"industry","","","","",""
"construction of buildings","2.5","1.6","2.4","1.7","2.9"
"specialty trade contractors","6.7","2.9","1.5","2.6","7.8"
"manufacturing","3.7","4.0","5.2","3.4","4.5"
"wholesale trade","3.8","5.8","13.1","6.3","3.1"
"retail trade","10.0","10.7","16.3","12.4","11.1"
"truck transportation","13.0","3.1","1.2","2.3","9.8"
"transit and ground passenger transportation","0.3","0.1","0.1","0.1","0.4"
"lessors of real estate","1.0","0.8","3.5","1.6","0.9"
"offices of real estate agents and brokers","0.4","0.5","0.8","0.5","0.3"
"accounting, tax preparation, bookkeeping and payroll services","0.7","1.2","0.3","1.0","0.6"
"architectural, engineering and related services","1.2","3.7","0.5","2.1","1.7"
"computer systems design and related services","3.2","11.8","1.0","6.8","3.4"
"management, scientific and technical consulting services","2.1","4.1","2.2","3.2","1.2"
"services to buildings and dwellings","2.1","0.9","0.7","1.0","2.7"
"offices of physicians","2.7","5.7","0.6","5.6","2.5"
"offices of dentists","1.3","1.0","0.5","2.5","1.5"
"child day-care services","0.3","0.3","0.3","0.7","0.3"
"food services and drinking places","10.6","7.9","9.9","9.5","13.3"
"all other industries","34.4","33.8","40.1","36.9","32.0"
"total percent of owners","100.0","100.0","100.0","100.0","100.0"
"","number","number","number","number","number"
"total","44,199","38,659","7,266","29,318","17,035"
"","percent","percent","percent","percent","percent"
"knowledge-based industries","8.2","22.9","5.0","14.4","7.5"
