"club","season","league","league","league","cup","cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"tromsø","2006","tippeligaen","5","0","1","1","0","0","-","-","6","1"
"tromsø","2007","tippeligaen","15","0","4","0","0","0","-","-","19","0"
"tromsø","2008","tippeligaen","20","2","4","1","0","0","-","-","24","3"
"tromsø","2009","tippeligaen","30","0","4","0","6","0","-","-","40","0"
"tromsø","2010","tippeligaen","30","0","3","0","0","0","-","-","33","0"
"tromsø","2011","tippeligaen","29","1","4","0","4","1","-","-","37","2"
"tromsø","2012","tippeligaen","29","0","6","1","6","0","-","-","41","1"
"tromsø","2013","tippeligaen","12","1","1","1","0","0","-","-","13","2"
"tromsø","total","total","170","4","27","4","16","1","0","0","213","9"
"1. fc kaiserslautern","2013-14","2. bundesliga","23","2","6","1","0","0","-","-","29","3"
"1. fc kaiserslautern","2014-15","2. bundesliga","21","0","3","0","0","0","-","-","24","0"
"1. fc kaiserslautern","2015-16","2. bundesliga","31","7","0","0","0","0","-","-","31","7"
"1. fc kaiserslautern","total","total","75","9","9","1","0","0","0","0","84","10"
"groningen","2016-17","eredivisie","33","2","2","0","0","0","2","0","37","2"
"groningen","2017-18","eredivisie","12","0","1","0","0","0","-","-","13","0"
"groningen","total","total","45","2","3","0","0","0","2","0","50","2"
"1. fc kaiserslautern","2017-18","2. bundesliga","15","0","0","0","0","0","-","-","15","0"
"1. fc kaiserslautern","total","total","15","0","0","0","0","0","0","0","15","0"
"brann","2018","eliteserien","12","0","0","0","0","0","-","-","12","0"
"brann","2019","eliteserien","1","0","0","0","0","0","-","-","1","0"
"brann","total","total","12","0","0","0","0","0","0","0","12","0"
"career total","career total","career total","318","15","39","5","16","1","2","0","375","21"
