"year","single","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","album"
"year","single","us","us r&b","us dan","aus","ger","nz","uk","album"
"1988","hide and seek","-","32","-","-","-","-","-","tracie spencer"
"1988","symptoms of true love","38","11","14","-","24","-","-","tracie spencer"
"1989","imagine","85","31","-","-","-","-","-","tracie spencer"
"1990","save your love","-","7","20","-","-","-","-","make the difference"
"1990","this house","3","7","7","87","-","26","65","make the difference"
"1991","this time make it funky","54","31","13","-","-","48","-","make the difference"
"1991","tender kisses","42","1","-","-","-","-","-","make the difference"
"1992","love me","48","2","-","-","-","-","-","make the difference"
"1999","it's all about you","18","6","-","-","-","-","65","tracie"
"2000","still in my heart","88","36","39","-","-","-","-","tracie"
""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory"
