"club","season","bundesliga","bundesliga","dfb-pokal","dfb-pokal","dfl-ligapokal","dfl-ligapokal","europe","europe","other","other","total","total"
"club","season","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"karlsruher sc","1987-88","2","0","0","0","-","-","2","0","none","none","none","none"
"karlsruher sc","1988-89","2","0","0","0","-","-","2","0","none","none","none","none"
"karlsruher sc","1989-90","22","0","0","0","-","-","22","0","none","none","none","none"
"karlsruher sc","1990-91","0","0","0","0","-","-","0","0","none","none","none","none"
"karlsruher sc","1991-92","37","0","2","0","-","-","39","0","none","none","none","none"
"karlsruher sc","1992-93","34","0","5","0","-","-","39","0","none","none","none","none"
"karlsruher sc","1993-94","31","0","3","0","-","-","10","0","44","0","none","none"
"karlsruher sc","totals","128","0","10","0","-","-","10","0","-","-","148","0"
"bayern munich","1994-95","23","0","1","0","-","-","5","0","1","0","30","0"
"bayern munich","1995-96","32","0","2","0","-","-","12","0","46","0","none","none"
"bayern munich","1996-97","32","0","4","0","-","-","2","0","38","0","none","none"
"bayern munich","1997-98","34","0","6","0","2","0","8","0","-","-","50","0"
"bayern munich","1998-99","30","0","6","0","2","0","13","0","-","-","51","0"
"bayern munich","1999-00","27","0","5","0","0","0","13","0","-","-","45","0"
"bayern munich","2000-01","32","0","2","0","2","0","16","0","-","-","52","0"
"bayern munich","2001-02","32","0","4","0","1","0","12","0","-","-","2","0"
"bayern munich","2002-03","33","0","6","0","0","0","6","0","-","-","45","0"
"bayern munich","2003-04","33","0","4","0","1","0","8","0","-","-","46","0"
"bayern munich","2004-05","32","0","5","0","2","0","10","0","-","-","49","0"
"bayern munich","2005-06","31","0","6","0","0","0","7","0","-","-","44","0"
"bayern munich","2006-07","32","0","1","0","1","0","9","0","-","-","43","0"
"bayern munich","2007-08","26","0","5","0","2","0","9","0","-","-","42","0"
"bayern munich","totals","429","0","57","0","13","0","130","0","-","-","3","0"
"career totals","career totals","557","0","67","0","13","0","140","0","3","0","780","0"
"none","none","none","none","none","none","none","none","none","none","none","none","none","none"
