"variables","mean","standard deviation","p5","p95"
"ten-year change","","","",""
"log growth in value-added labour productivity","0.11","0.49","-0.60","0.85"
"log growth in capital/labour ratio","0.32","2.20","-1.61","2.36"
"log growth in employment","0.11","0.54","-0.71","0.99"
"ten-year change","","","",""
"share of immigrants","0.58","9.36","-15.11","14.71"
"share of recent immigrants","-0.28","8.71","-15.15","11.11"
"share of established immigrants","0.86","6.00","-7.02","10.53"
"share of official language immigrants","1.07","6.73","-8.85","12.07"
"share of non-official language immigrants","-0.49","5.10","-8.86","5.33"
"share of skilled principal immigrants","0.38","3.85","-4.90","6.21"
"share of immigrants in other classes","0.20","7.47","-12.26","10.97"
"share of high-skilled immigrants","0.05","3.81","-5.67","5.49"
"share of non-high-skilled immigrants","0.52","7.46","-11.52","11.50"
"share of stem immigrants","0.06","2.00","-2.33","2.52"
"share of non-stem immigrants","0.52","8.79","-14.02","13.58"
"share of university-educated immigrants","0.90","3.96","-3.61","7.41"
"share of immigrants with lower education","-0.32","7.52","-13.60","9.89"
"average over the sample period","","","",""
"share of immigrants","13.50","28.99","0.00","100.00"
"share of recent immigrants","7.75","21.86","0.00","58.33"
"share of established immigrants","5.75","18.44","0.00","40.00"
"share of official language immigrants","8.82","22.88","0.00","66.67"
"share of non-official language immigrants","4.68","16.37","0.00","33.33"
"share of skilled principal immigrants","3.67","14.27","0.00","23.08"
"share of immigrants in other classes","9.83","23.97","0.00","75.00"
"share of high-skilled immigrants","3.22","13.29","0.00","20.00"
"share of non-high-skilled immigrants","10.28","24.48","0.00","75.56"
"share of stem immigrants","0.99","7.43","0.00","0.83"
"share of non-stem immigrants","12.51","27.67","0.00","100.00"
"share of university-educated immigrants","4.13","16.09","0.00","25.00"
"share of immigrants with lower education","9.37","23.38","0.00","66.67"
