"cma or ca","total population","indigenous identity population","indigenous identity population","dissimilarity index"
"cma or ca","total population","indigenous identity population","indigenous identity population","dissimilarity index"
"cma or ca","number","number","percent","dissimilarity index"
"st. john's","203,305","6,695","3.3","0.15"
"halifax","397,395","15,730","4.0","0.16"
"moncton","141,480","3,485","2.5","0.11"
"saint john","123,520","2,305","1.9","0.20"
"fredericton","98,840","3,040","3.1","0.15"
"saguenay","157,170","6,700","4.3","0.12"
"quebec","776,945","9,935","1.3","0.22"
"sherbrooke","205,735","2,430","1.2","0.16"
"trois-rivieres","149,965","2,145","1.4","0.19"
"drummondville","92,875","1,080","1.2","0.20"
"granby","82,745","895","1.1","0.15"
"montreal","4,009,795","34,750","0.9","0.28"
"ottawa-gatineau","1,300,730","38,120","2.9","0.19"
"kingston","156,465","5,585","3.6","0.20"
"belleville","101,285","5,240","5.2","0.13"
"peterborough","117,350","4,450","3.8","0.15"
"oshawa","375,605","8,965","2.4","0.21"
"toronto","5,862,590","46,110","0.8","0.36"
"hamilton","734,880","14,440","2.0","0.29"
"st. catharines-niagara","396,870","11,645","2.9","0.23"
"kitchener-cambridge-waterloo","516,080","8,880","1.7","0.21"
"brantford","131,635","6,335","4.8","0.26"
"guelph","150,030","2,280","1.5","0.18"
"london","486,500","12,070","2.5","0.25"
"windsor","325,005","8,485","2.6","0.19"
"sarnia","94,255","3,390","3.6","0.24"
"barrie","194,445","6,905","3.6","0.15"
"north bay","68,710","7,130","10.4","0.12"
"greater sudbury","161,315","15,240","9.4","0.14"
"sault ste. marie","75,545","8,495","11.2","0.13"
"thunder bay","117,900","14,280","12.1","0.23"
"winnipeg","761,025","92,310","12.1","0.25"
"regina","232,615","21,650","9.3","0.31"
"saskatoon","288,450","30,905","10.7","0.25"
"medicine hat","74,670","3,680","4.9","0.11"
"lethbridge","113,920","6,130","5.4","0.22"
"calgary","1,373,005","41,030","3.0","0.22"
"red deer","98,480","5,185","5.3","0.15"
"edmonton","1,292,890","71,995","5.6","0.23"
"grande prairie","62,055","6,550","10.6","0.10"
"wood buffalo","71,475","6,560","9.2","0.24"
"kelowna","180,120","10,010","5.6","0.15"
"kamloops","97,370","9,365","9.6","0.17"
"chilliwack","93,585","7,315","7.8","0.18"
"abbotsford-mission","176,045","9,505","5.4","0.22"
"vancouver","2,417,230","57,860","2.4","0.26"
"victoria","352,575","14,535","4.1","0.21"
"nanaimo","101,030","7,360","7.3","0.20"
"prince george","85,030","12,300","14.5","0.20"
