"characterisitc","prevalence per 100,000 population","95% confidence interval","95% confidence interval"
"characterisitc","prevalence per 100,000 population","95% confidence interval","95% confidence interval"
"characterisitc","prevalence per 100,000 population","95% confidence interval","95% confidence interval"
"characterisitc","prevalence per 100,000 population","from","to"
"households","","",""
"total","290","258","325"
"multiple sclerosis and other neurological conditions","92","71","119"
"multiple sclerosis without other neurological conditions","197","175","223"
"sex","","",""
"males","159","125","201"
"females","418","367","477"
"age group","","",""
"0 to 17","f","f","f"
"18 to 44","233","188","290"
"45 to 64","478","417","548"
"65 to 79","470","333","663"
"65 or older","267","149","479"
"institutions","","",""
"total","1,460","1,380","1,540"
"sex","","",""
"males","1,300","1,200","1,400"
"females","1,540","1,450","1,620"
"age group","","",""
"0 to 17","f","f","f"
"18 to 44","2,130","1,820","2,440"
"45 to 64","6,910","6,450","7,380"
"65 to 79","2,540","2,380","2,700"
"65 or older","300","270","330"
