"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"feyenoord","2003-04","eredivisie","2","0","0","0","-","-","2","0","none","none","none","none"
"feyenoord","2004-05","eredivisie","31","20","0","0","-","-","7","4","-","-","38","24"
"feyenoord","2005-06","eredivisie","34","15","0","0","-","-","2","0","2","0","38","15"
"feyenoord","totals","totals","67","35","0","0","-","-","9","4","2","0","75","39"
"excelsior","2003-04","eerste divisie","11","4","0","0","-","-","6","0","17","4","none","none"
"chelsea","2006-07","premier league","33","7","7","1","6","1","11","0","1","0","58","9"
"chelsea","2007-08","premier league","30","7","3","1","4","2","11","1","-","-","48","11"
"chelsea","2008-09","premier league","27","7","6","2","2","1","8","1","-","-","43","11"
"chelsea","2009-10","premier league","23","5","4","1","3","3","6","3","1","0","37","12"
"chelsea","2010-11","premier league","31","10","3","2","1","0","6","0","1","1","42","13"
"chelsea","2011-12","premier league","12","1","5","1","2","1","7","2","-","-","26","5"
"chelsea","totals","totals","156","37","28","8","18","8","49","7","3","1","254","61"
"lille","2012-13","ligue 1","28","14","1","1","1","0","7","1","-","-","37","16"
"lille","2013-14","ligue 1","38","16","2","2","0","0","-","-","40","18","none","none"
"lille","2014-15","ligue 1","1","0","0","0","0","0","2","0","-","-","3","0"
"lille","totals","totals","67","30","3","3","1","0","9","1","-","-","80","33"
"hertha bsc","2014-15","bundesliga","27","6","1","0","-","-","28","6","none","none","none","none"
"hertha bsc","2015-16","bundesliga","32","14","5","3","-","-","37","17","none","none","none","none"
"hertha bsc","2016-17","bundesliga","26","7","3","1","-","-","2","0","-","-","31","8"
"hertha bsc","2017-18","bundesliga","31","12","2","0","-","-","3","0","-","-","36","12"
"hertha bsc","2018-19","bundesliga","16","2","2","0","-","-","18","2","none","none","none","none"
"hertha bsc","totals","totals","132","41","13","4","-","-","5","0","-","-","150","45"
"career totals","career totals","career totals","433","147","44","15","19","8","72","12","11","1","579","183"
"reference:","reference:","reference:","reference:","reference:","reference:","reference:","reference:","reference:","reference:","reference:","reference:","reference:","reference:","reference:"
