"activities","participation rate","participation rate","participation rate","average time spent","average time spent","average time spent"
"activities","55 to 64","65 to 74","75 and over","55 to 64","65 to 74","75 and over"
"activities","percent","percent","percent","hours","hours","hours"
"doing unpaid household work","85","88","87","3.1","3.3","3.2"
"engaging in civic, religious and organizational activities","6","8","10","2.1","2.3","1.8"
"socializing and communicating","42","41","43","2.3","2.3","2.2"
"engaging in leisure and physical activities","33","41","41","2.3","2.2","2.3"
"using technology","30","33","22","1.7","2.0","2.0"
"watching television and videos","76","83","86","3.3","3.9","4.3"
"reading","24","36","42","1.5","1.8","2.2"
"sleeping","100","100","100","8.5","8.9","9.3"
