"no","pos","nat","player","total","total","serie a","serie a","coppa italia","coppa italia","champions league","champions league","europa league","europa league"
"no","pos","nat","player","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers"
"1","gk","slovenia","samir handanovic","45","0","34","0","1","0","6","0","4","0"
"27","gk","italy","daniele padelli","1","0","0","0","1","0","0","0","0","0"
"46","gk","italy","tommaso berni","0","0","0","0","0","0","0","0","0","0"
"93","gk","italy","raffaele di gennaro","0","0","0","0","0","0","0","0","0","0"
"defenders","defenders","defenders","defenders","defenders","defenders","defenders","defenders","defenders","defenders","defenders","defenders","defenders","defenders"
"2","df","croatia","sime vrsaljko","13","0","8+2","0","1","0","1+1","0","0","0"
"6","df","netherlands","stefan de vrij","34","2","26","2","0","0","5","0","3","0"
"13","df","italy","andrea ranocchia","7","1","0+4","0","1","0","0","0","1+1","1"
"18","df","ghana","kwadwo asamoah","38","0","26+2","0","1","0","6","0","3","0"
"21","df","portugal","cedric soares","8","0","2+1","0","0+1","0","0","0","3+1","0"
"23","df","brazil","miranda","18","0","12","0","1","0","2+1","0","1+1","0"
"29","df","brazil","dalbert","11","1","9+1","0","1","1","0","0","0","0"
"33","df","italy","danilo d'ambrosio","35","2","26+1","2","1","0","4","0","2+1","0"
"37","df","slovakia","milan skriniar","42","0","31","0","2","0","6","0","3","0"
"midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders"
"5","mf","italy","roberto gagliardini","19","5","12+5","5","2","0","0","0","0","0"
"8","mf","uruguay","matias vecino","37","5","21+6","3","0+1","0","5","1","4","1"
"14","mf","belgium","radja nainggolan","32","6","18+7","5","0+1","0","4","1","2","0"
"15","mf","portugal","joao mario","22","1","12+8","1","1+1","0","0","0","0","0"
"20","mf","spain","borja valero","36","0","10+15","0","0+1","0","2+4","0","3+1","0"
"77","mf","croatia","marcelo brozovic","39","2","28+1","2","2","0","6","0","2","0"
"87","mf","italy","antonio candreva","26","3","5+10","1","2","2","2+3","0","2+2","0"
"forwards","forwards","forwards","forwards","forwards","forwards","forwards","forwards","forwards","forwards","forwards","forwards","forwards","forwards"
"9","fw","argentina","mauro icardi","33","16","22+3","10","2","2","6","4","0","0"
"10","fw","argentina","lautaro martinez","31","9","11+12","6","1+1","2","0+3","0","3","1"
"11","fw","senegal","keita balde","27","4","8+14","4","0","0","0+4","0","1","0"
"16","fw","italy","matteo politano","44","5","27+5","4","1+1","0","5+1","0","3+1","1"
"44","fw","croatia","ivan perisic","41","8","26+4","7","1","0","6","0","4","1"
"68","fw","italy","davide merola","1","0","0","0","0","0","0","0","0+1","0"
"70","fw","italy","sebastiano esposito","1","0","0","0","0","0","0","0","0+1","0"
"players transferred out during the season","players transferred out during the season","players transferred out during the season","players transferred out during the season","players transferred out during the season","players transferred out during the season","players transferred out during the season","players transferred out during the season","players transferred out during the season","players transferred out during the season","players transferred out during the season","players transferred out during the season","players transferred out during the season","players transferred out during the season"
"7","fw","france","yann karamoh","1","0","0+1","0","0","0","0","0","0","0"
