"selected characteristics","sexual assault","sexual assault","robbery","robbery","physical assault","physical assault","total violent victimization","total violent victimization"
"selected characteristics","number","rate","number","rate","number","rate","number","rate"
"age","","","","","","","",""
"15 to 24","295","134","f","f","156","71","473","215"
"25 to 34","142","58","24","10","150","61","315","128"
"35 to 44","38","16","f","f","115","49","160","68"
"45 to 54","53","20","f","f","112","43","178","68"
"55 to 64","f","f","f","f","83","35","99","42"
"65 and older","f","f","f","f","20","7","40","14"
"immigrant status","","","","","","","",""
"yes","52","16","f","f","90","27","152","45"
"no","480","42","68","6","541","48","1,088","96"
"visible minority","","","","","","","",""
"yes","81","33","f","f","62","25","153","62"
"no","445","37","68","6","568","47","1,080","89"
"aboriginal identity","","","","","","","",""
"non-aboriginal","500","35","71","5","594","41","1,165","81"
"aboriginal","f","f","f","f","40","89","97","219"
"first nations","f","f","f","f","f","f","61","270"
"metis","f","f","f","f","f","f","f","177"
"inuit","f","f","f","f","f","f","f","f"
"sexual orientation","","","","","","","",""
"heterosexual","394","29","58","4","551","41","1,002","75"
"homosexual / bisexual","60","155","f","f","37","94","109","281"
"drug use in the past month","","","","","","","",""
"yes","125","196","f","f","92","144","229","358"
"no","408","29","66","5","539","38","1,012","72"
"binge drinking in the past month","","","","","","","",""
"yes","235","89","f","f","195","73","462","174"
"no","297","25","45","4","434","36","777","65"
"self-rated mental health","","","","","","","",""
"good, very good or excellent","367","26","58","4","522","38","947","68"
"poor or fair","166","204","f","f","108","133","293","361"
"learning disability","","","","","","","",""
"yes","65","122","f","f","51","95","129","242"
"no","468","33","64","4","581","41","1,113","78"
"mental health-related disability","","","","","","","",""
"yes","145","131","f","f","119","107","289","260"
"no","388","29","52","4","512","38","952","70"
"number of evening activities in the past month","","","","","","","",""
"none","f","f","f","f","31","24","44","33"
"1 to 10","100","16","f","f","176","28","295","47"
"11 to 20","143","35","28","7","198","49","369","91"
"21 or more","294","97","f","f","221","73","540","177"
