"year","title","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","certifications","album"
"year","title","us","aus","bel","can","fra","ger","nld","nz","swi","uk","certifications","album"
"1989","ode to a forgetful mind","-","-","-","-","-","-","-","-","-","-","none","non-album single"
"1991","a watcher's point of view","-","-","-","-","-","-","-","-","-","36","none","of the heart, of the soul and of the cross: the utopian experience"
"1991","set adrift on memory bliss","1","7","14","9","17","3","4","1","4","3","us: gold aus: gold","of the heart, of the soul and of the cross: the utopian experience"
"1991","paper doll","28","61","43","31","45","42","60","-","33","49","none","of the heart, of the soul and of the cross: the utopian experience"
"1992","reality used to be a friend of mine","-","118","-","-","-","-","-","-","-","29","none","of the heart, of the soul and of the cross: the utopian experience"
"1992","i'd die without you","3","42","-","10","-","85","53","38","-","30","us: gold","the bliss album...?"
"1993","looking through patient eyes","6","20","-","1","-","63","-","11","-","11","none","the bliss album...?"
"1993","more than likely","-","-","-","-","-","-","-","-","-","40","none","the bliss album...?"
"1993","the ways of the wind","54","-","-","24","-","-","-","-","-","-","none","the bliss album...?"
"1993","plastic","-","-","-","-","-","-","-","-","-","-","none","the bliss album...?"
"1993","norwegian wood","-","-","-","-","-","-","-","-","-","-","none","the bliss album...?"
"1993","you got me floatin'","115","43","-","-","-","-","-","-","-","-","none","stone free: a tribute to jimi hendrix"
"1995","downtown venus","48","73","-","-","-","-","-","-","-","58","none","jesus wept"
"1995","sometimes i miss you so much","95","-","-","-","-","-","-","-","-","58","none","jesus wept"
"1998","gotta be...movin' on up","-","13","12","-","18","74","-","23","-","68","aus: gold","senseless soundtrack"
"1998","i had no right","44","-","-","-","-","-","-","-","-","97","none","dearest christian, i'm so very sorry for bringing you here. love, dad"
"1998","faith in you","-","-","-","-","-","-","-","-","-","-","none","dearest christian, i'm so very sorry for bringing you here. love, dad"
"2000","night in the city","-","-","-","-","-","-","-","-","-","-","none","a case of joni"
"2002","amnesia","-","-","-","-","-","-","-","-","-","-","none","non-album single"
""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released"
