"club","season","league","league","league","fa cup","fa cup","league cup","league cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"aberdeen","1948-49","scottish first division","3","0","0","0","6","0","9","0"
"aberdeen","1949-50","scottish first division","2","0","0","0","0","0","2","0"
"aberdeen","1950-51","scottish first division","4","0","0","0","0","0","4","0"
"aberdeen","1951-52","scottish first division","20","0","3","0","6","0","29","0"
"aberdeen","1952-53","scottish first division","0","0","0","0","6","0","6","0"
"aberdeen","total","total","29","0","3","0","18","0","50","0"
"stoke city","1952-53","first division","38","2","2","0","-","-","40","2"
"stoke city","1953-54","second division","40","2","3","0","-","-","43","2"
"stoke city","1954-55","second division","41","0","6","1","-","-","47","1"
"stoke city","1955-56","second division","37","0","5","0","-","-","42","0"
"stoke city","1956-57","second division","40","0","1","0","-","-","41","0"
"stoke city","1957-58","second division","37","0","5","0","-","-","42","0"
"stoke city","1958-59","second division","38","2","2","0","-","-","40","2"
"stoke city","1959-60","second division","7","0","0","0","-","-","7","0"
"stoke city","total","total","278","6","24","1","-","-","302","7"
"middlesbrough","1959-60","second division","18","0","1","0","-","-","19","0"
"middlesbrough","1960-61","second division","38","0","1","0","1","0","40","0"
"middlesbrough","1961-62","second division","25","1","2","0","1","0","28","1"
"middlesbrough","1962-63","second division","3","0","0","0","0","0","3","0"
"middlesbrough","total","total","84","1","4","0","2","0","90","1"
"hartlepools united","1962-63","fourth division","28","2","1","0","0","0","29","2"
"hartlepools united","total","total","28","2","1","0","0","0","29","2"
"career total","career total","career total","419","9","32","1","20","0","471","10"
