"category","1982","1985","1996","2011"
"all","8,068","9,334","13,514","19,403"
"female","4,153","4,878","7,220","10,247"
"male","3,915","4,456","6,294","9,156"
"21-30","3,991","4,168","2,911","3,040"
"31-40","2,460","3,102","4,630","3,043"
"41-50","1,073","1,246","3,581","4,441"
"51 or over","544","818","2,392","8,879"
"immigrants","889","1,038","1,829","3,558"
"non-immigrants","7,179","8,296","11,685","15,845"
"alberta resident 2011","735","860","1,313","2,056"
"bc resident 2011","860","948","1,396","2,129"
"manitoba resident 2011","576","679","963","1,373"
"maritimes resident 2011","2,043","2,379","3,278","4,138"
"ontario resident 2011","1,716","1,963","2,930","4,493"
"quebec resident 2011","1,593","1,869","2,734","3,920"
"saskatchewan resident 2011","545","636","900","1,294"
