"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total","discipline","discipline"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","a yellow card","a red card"
"torquay united","2011-12","league two","2","0","0","0","0","0","0","0","2","0","0","0"
"torquay united","2012-13","league two","13","0","1","0","0","0","1","0","15","0","2","0"
"torquay united","total","total","15","0","1","0","0","0","1","0","17","0","2","0"
"hereford united","2013-14","conference premier","38","0","2","0","0","0","1","0","41","0","5","0"
"hereford united","total","total","38","0","2","0","0","0","1","0","41","0","5","0"
"bristol rovers","2014-15","conference premier","24","1","0","0","0","0","1","0","25","1","1","1"
"bristol rovers","2015-16","league two","33","0","1","0","1","0","1","0","36","0","4","0"
"bristol rovers","2016-17","league one","30","0","1","0","2","0","3","0","36","0","3","1"
"bristol rovers","2017-18","league one","5","0","0","0","2","0","0","0","7","0","1","0"
"bristol rovers","total","total","92","1","2","0","5","0","5","0","104","1","9","2"
"career total","career total","career total","145","1","5","0","5","0","7","0","162","1","16","2"
