"characteristic","women","women","men","men"
"characteristic","living alone","living in a couple","living alone","living in a couple"
"characteristic","percentage","percentage","percentage","percentage"
"number of family members respondent feels close to","","","",""
"none","7","2","11","5"
"one to four","47","40","59","45"
"five or more","46","58","30","50"
"number of friends respondent feels close to","","","",""
"none","11","10","18","12"
"one to four","43","45","46","43"
"five or more","46","45","36","45"
"number of friends excluding closest","","","",""
"none","15","10","21","12"
"one to four","14","12","15","12"
"five or more","72","78","64","76"
"daily in-person contact","","","",""
"with family","12","7","9","7"
"with friends","17","7","20","8"
