"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"west bromwich albion","1953-54","first division","1","0","0","0","0","0","1","0"
"west bromwich albion","1954-55","first division","3","0","1","0","0","0","4","0"
"west bromwich albion","total","total","3","0","1","0","0","0","5","0"
"walsall","1955-56","third division south","33","0","4","0","0","0","37","0"
"walsall","1956-57","third division south","20","0","1","0","0","0","21","0"
"walsall","total","total","53","0","5","0","0","0","58","0"
"millwall","1958-59","fourth division","35","0","3","0","0","0","38","0"
"millwall","1959-60","fourth division","46","0","1","0","0","0","47","0"
"millwall","1960-61","fourth division","41","0","0","0","1","0","42","0"
"millwall","1961-62","fourth division","43","0","1","0","2","0","46","0"
"millwall","1962-63","third division","34","0","3","0","1","0","38","0"
"millwall","total","total","199","0","8","0","4","0","211","0"
"leyton orient","1963-64","second division","11","0","0","0","1","0","12","0"
"port vale","1964-65","third division","12","0","1","0","0","0","13","1"
"leyton orient","1964-65","second division","11","0","0","0","0","0","11","0"
"leyton orient","1965-66","second division","5","0","0","0","0","0","5","0"
"leyton orient","total","total","16","0","0","0","0","0","16","0"
"career total","career total","career total","296","0","15","0","5","0","316","0"
