"field of study of the 2010 undergraduate degree","total "bac+" group","short-duration credential in the same province","short-duration credential in a different province","same province rate"
"field of study of the 2010 undergraduate degree","number","number","number","percent"
"newfoundland and labrador","50","25","25","50.0"
"prince edward island","25","15","10","x"
"nova scotia","275","160","115","58.2"
"new brunswick","115","50","65","43.5"
"quebec","965","950","15","98.4"
"ontario","2,650","2,510","140","94.7"
"manitoba","105","80","25","76.2"
"saskatchewan","80","60","20","75.0"
"alberta","315","250","65","79.4"
"british columbia","790","745","45","94.3"
"total","5,370","4,845","525","90.2"
