"club","season","league","league","league","cup","cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"fram","2009","urvalsdeild","17","5","0","0","4","1","21","6"
"fram","2010","urvalsdeild","17","5","2","0","0","0","19","5"
"fram","2011","urvalsdeild","8","0","2","0","0","0","10","0"
"fram","total","total","42","10","4","0","4","1","50","11"
"beerschot","2011-12","belgian pro league","4","0","0","0","0","0","4","0"
"beerschot","total","total","4","0","0","0","0","0","4","0"
"gif sundsvall","2012","allsvenskan","6","0","0","0","1","0","7","0"
"gif sundsvall","2013","superettan","10","0","2","0","2","0","14","0"
"gif sundsvall","2014","superettan","29","1","3","0","0","0","32","1"
"gif sundsvall","2015","allsvenskan","29","1","0","0","0","0","29","1"
"gif sundsvall","total","total","74","2","5","0","3","0","82","2"
"norrkoping","2016","allsvenskan","16","1","4","0","2","0","22","1"
"norrkoping","2017","allsvenskan","30","2","5","1","4","0","39","3"
"norrkoping","2018","allsvenskan","13","0","3","1","0","0","16","1"
"norrkoping","total","total","59","3","12","2","6","0","71","5"
"career totals","career totals","career totals","179","15","21","2","13","1","213","28"
