"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"atletico nacional","2009","categoria primera a","18","0","0","0","-","-","0","0","18","0"
"atletico nacional","2010","categoria primera a","12","0","0","0","-","-","0","0","12","0"
"atletico nacional","total","total","30","0","0","0","-","-","0","0","30","0"
"alianza petrolera","2006","categoria primera b","16","2","0","0","-","-","0","0","16","2"
"atletico la sabana","2010","categoria primera b","15","2","0","0","-","-","0","0","15","2"
"valledupar","2011","categoria primera b","7","0","4","1","-","-","0","0","11","1"
"valledupar","2012","categoria primera b","13","0","5","0","-","-","0","0","18","0"
"valledupar","total","total","20","0","9","1","-","-","0","0","29","1"
"atletico bucaramanga","2012","categoria primera b","15","0","4","1","-","-","0","0","19","1"
"atletico bucaramanga","2013","categoria primera b","16","0","6","0","-","-","0","0","22","0"
"atletico bucaramanga","total","total","31","0","10","1","-","-","0","0","41","1"
"deportivo pereira","2014","categoria primera b","8","0","3","1","-","-","2","0","13","1"
"deportivo pereira","2015","categoria primera b","3","1","5","0","-","-","1","0","9","1"
"deportivo pereira","total","total","11","1","8","1","-","-","3","0","22","2"
"union magdalena","2015","categoria primera b","7","1","0","0","-","-","1","0","8","1"
"career total","career total","career total","130","6","27","3","-","-","4","0","161","9"
