"year","team","g","gs","passing","passing","passing","passing","passing","passing","passing","passing","sacked","sacked"
"year","team","g","gs","cmp","att","pct","yds","y/a","td","int","rtg","sck","yds"
"2004","sd","2","0","5","8","62.5","33","4.1","1","0","110.9","0","0"
"2005","sd","2","0","12","22","54.5","115","5.2","0","1","50.4","3","16"
"2006","sd","16","16","284","460","61.7","3,388","7.4","22","9","92.0","27","144"
"2007","sd","16","16","277","460","60.2","3,152","6.9","21","15","82.4","22","163"
"2008","sd","16","16","312","478","65.3","4,009","8.4","34","11","105.5","25","151"
"2009","sd","16","16","317","486","65.2","4,254","8.8","28","9","104.4","25","167"
"2010","sd","16","16","357","541","66.0","4,710","8.7","30","13","101.8","38","227"
"2011","sd","16","16","366","582","62.9","4,624","7.9","27","20","88.7","30","198"
"2012","sd","16","16","338","527","64.1","3,606","6.8","26","15","88.6","49","311"
"2013","sd","16","16","378","544","69.5","4,478","8.2","32","11","105.5","30","150"
"2014","sd","16","16","379","570","66.5","4,286","7.5","31","18","93.8","36","189"
"2015","sd","16","16","437","661","66.1","4,792","7.3","29","13","93.8","40","264"
"2016","sd","16","16","349","578","60.4","4,386","7.6","33","21","87.9","36","188"
"2017","lac","16","16","360","575","62.6","4,515","7.9","28","10","96.0","18","120"
"2018","lac","16","16","347","508","68.3","4,308","8.5","32","12","105.5","32","204"
"career","career","212","208","4,518","7,000","64.5","54,656","7.8","374","178","95.6","411","2492"
