"","observed share working in high-skill occupations","observed share working in high-skill occupations","adjusted share working in high-skill occupations","adjusted share working in high-skill occupations"
"","men","women","men","women"
"","percent","percent","percent","percent"
"second generation groups","","","",""
"south asian","39.0","47.8","24.4","34.3"
"black","19.1","29.8","19.5","30.7"
"chinese","46.2","50.8","26.4","32.6"
"filipino","27.0","37.2","23.1","33.1"
"southeast asian","29.4","34.9","24.2","32.3"
"west asian/arab","33.9","38.5","24.6","31.4"
"latin american","15.9","22.9","20.7","31.2"
"korean","41.2","49.1","20.2","30.8"
"japanese","38.1","42.7","25.6","31.4"
"white","26.6","36.2","22.0","32.0"
"all second generation","28.6","37.6","22.4","32.1"
"third-plus generation whites","19.9","31.0","21.7","32.6"
