"no","pos","nat","player","total","total","ligat ha'al","ligat ha'al","state cup","state cup","toto cup","toto cup","uefa europa league","uefa europa league"
"no","pos","nat","player","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"2","df","israel","eli dasa","16","1","10","1","0","0","1","0","5","0"
"3","df","portugal","jair","14","0","7","0","0","0","1","0","6","0"
"4","df","spain","enric saborit","19","1","12","1","0","0","1","0","6","0"
"6","mf","israel","dan glazer","16","0","10","0","0","0","2","0","4","0"
"7","fw","israel","omer atzili","18","5","12","5","0","0","1","0","5","0"
"10","fw","nigeria","chikeluba ofoedu","14","4","11","3","0","0","1","1","2","0"
"11","mf","israel","itay shechter","18","4","13","4","0","0","2","0","3","0"
"13","df","israel","sheran yeini","19","1","13","1","0","0","2","0","4","0"
"15","mf","israel","dor micha","21","1","14","0","0","0","1","0","6","1"
"16","fw","israel","eliran atar","18","11","11","7","0","0","1","0","6","4"
"17","mf","israel","matan hozez","4","0","1","0","0","0","1","0","2","0"
"18","df","israel","eitan tibi","8","0","1","0","0","0","1","0","6","0"
"19","gk","brazil","daniel","0","0","0","0","0","0","0","0","0","0"
"22","df","israel","avi rikan","17","2","13","2","0","0","1","0","3","0"
"23","mf","israel","eyal golasa","15","2","9","2","0","0","2","0","4","0"
"24","mf","israel","yonatan cohen","5","4","4","2","0","0","1","2","0","0"
"25","fw","united states","aaron schoenfeld","13","2","7","1","0","0","2","1","4","0"
"30","df","israel","maor kandil","6","1","5","1","0","0","1","0","0","0"
"31","mf","israel","shachar piven","12","1","10","0","0","0","2","1","0","0"
"42","mf","israel","dor peretz","16","4","11","4","0","0","1","0","4","0"
"55","gk","israel","haviv ohayon","0","0","0","0","0","0","0","0","0","0"
"77","df","israel","roslan barsky","13","0","6","0","0","0","2","0","5","0"
"95","gk","serbia","predrag rajkovic","22","0","14","0","0","0","2","0","6","0"
"players away from maccabi tel aviv on loan:","players away from maccabi tel aviv on loan:","players away from maccabi tel aviv on loan:","players away from maccabi tel aviv on loan:","players away from maccabi tel aviv on loan:","players away from maccabi tel aviv on loan:","players away from maccabi tel aviv on loan:","players away from maccabi tel aviv on loan:","players away from maccabi tel aviv on loan:","players away from maccabi tel aviv on loan:","players away from maccabi tel aviv on loan:","players away from maccabi tel aviv on loan:","players away from maccabi tel aviv on loan:","players away from maccabi tel aviv on loan:"
"45","mf","israel","eliel peretz","1","0","0","0","0","0","1","0","0","0"
"players who appeared for maccabi tel aviv that left during the season:","players who appeared for maccabi tel aviv that left during the season:","players who appeared for maccabi tel aviv that left during the season:","players who appeared for maccabi tel aviv that left during the season:","players who appeared for maccabi tel aviv that left during the season:","players who appeared for maccabi tel aviv that left during the season:","players who appeared for maccabi tel aviv that left during the season:","players who appeared for maccabi tel aviv that left during the season:","players who appeared for maccabi tel aviv that left during the season:","players who appeared for maccabi tel aviv that left during the season:","players who appeared for maccabi tel aviv that left during the season:","players who appeared for maccabi tel aviv that left during the season:","players who appeared for maccabi tel aviv that left during the season:","players who appeared for maccabi tel aviv that left during the season:"
"77","df","israel","sean goldberg","1","0","0","0","0","0","1","0","0","0"
"9","fw","iceland","viðar orn kjartansson","7","2","0","0","0","0","1","0","6","2"
