"characteristic","total","total","men","men","women","women"
"characteristic","veteran","nonveteran","veteran","nonveteran","veteran","nonveteran"
"all civilian college graduates","3625000","57256000","3189000","25053000","436000","32204000"
"race and ethnicity","","","","","",""
"white, non-hispanic","75","72.1","77.8","73.7","54.4","70.9"
"black, non-hispanic","13.3","7.3","11.3","5.7","27.8","8.5"
"asian, non-hispanic","2","9.8","2","10.8","1.9","9.1"
"other, non-hispanic","2.9","2.3","3","2.1","2.1","2.5"
"hispanic","6.8","8.5","5.8","7.8","13.8","9"
"age groups","","","","","",""
"34 or younger","5.6","25","4.9","23.9","10.7","25.8"
"35-44","11.8","22.1","10.7","21.3","19.8","22.7"
"45-54","20.2","20.6","17.7","20.4","38.7","20.7"
"55-64","21.7","18.9","21.5","19.8","23.9","18.1"
"65-75","40.6","13.5","45.3","14.6","6.8","12.6"
"median age","61","46","63","47","49","45"
"disability statusa","","","","","",""
"has one or more disabilities","27","13.1","26.9","13.4","27.6","13"
"no disability","73","86.9","73.1","86.6","72.4","87"
