"entry type","firms","entries","entry rate","entry measured by employment","entry measured by employment","entry measured by employment","entry measured by employment","entry measured by employment","entry measured by employment","entry measured by employment","entry measured by employment","entry measured by employment"
"entry type","firms","entries","entry rate","alu employment creation rate","ilu employment creation rate","alu 2011","ilu 2011","alu 2012","ilu 2012","br employment","monthly average pd7","annual pd7"
"","numbers","numbers","percent","percent","percent","numbers","numbers","numbers","numbers","numbers","numbers","numbers"
"one-year entry","1,066,451","138,506","13.0","1.5","2.3","166,580","305,671","262,475","378,678","130,932","235,252","138,428"
"two-year entry","1,066,451","107,860","10.1","1.3","1.9","147,340","258,774","262,475","378,678","..","214,572","126,482"
"short-lived entry","1,066,451","30,646","2.9","0.2","0.4","19,240","46,897","0","0","..","20,680","11,947"
"previously active excluded","1,066,451","124,221","11.6","1.3","2.1","150,488","277,297","247,819","355,144","..","220,805","127,594"
"ever previously active excluded","1,066,451","110,596","10.4","1.2","1.9","139,007","256,260","235,158","334,747","..","208,963","121,396"
"one year with no pre-existing up","1,066,451","109,267","10.2","1.2","1.9","135,656","251,905","230,675","329,333","..","205,335","118,715"
"previously active excluded with no up","1,066,451","109,237","10.2","1.2","1.9","135,569","251,828","230,608","329,265","..","205,285","118,671"
"ever previously active excluded with no up","1,066,451","109,186","10.2","1.2","1.9","135,507","251,750","230,531","329,173","..","205,234","118,652"
