"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"elfsborg","2009","allsvenskan","1","0","1","0","0","0","-","-","2","0"
"elfsborg","2010","allsvenskan","9","1","0","0","0","0","-","-","9","1"
"elfsborg","2011","allsvenskan","28","6","3","1","3","0","-","-","34","7"
"elfsborg","2012","allsvenskan","27","3","0","0","3","1","-","-","30","4"
"elfsborg","2013","allsvenskan","17","1","6","3","5","3","-","-","28","7"
"elfsborg","2014","allsvenskan","10","0","0","0","7","1","-","-","17","1"
"elfsborg","total","total","92","11","10","4","18","5","0","0","120","20"
"nice","2014-15","ligue 1","30","1","1","0","-","-","0","0","31","1"
"nice","2015-16","ligue 1","15","1","0","0","-","-","1","0","16","1"
"nice","total","total","45","2","1","0","0","0","1","0","47","2"
"panathinaikos","2016-17","superleague","30","0","5","0","6","0","-","-","41","0"
"panathinaikos","2017-18","superleague","12","0","0","0","4","0","-","-","16","0"
"panathinaikos","total","total","42","0","5","0","10","0","0","0","57","0"
"aek athens","2017-18","superleague","8","0","3","0","0","0","-","-","11","0"
"aek athens","2018-19","superleague","11","0","1","0","10","0","-","-","22","0"
"aek athens","total","total","19","0","4","0","10","0","0","0","33","0"
"career total","career total","career total","198","13","20","4","38","5","1","0","257","22"
