"types of physical goods","online shoppers","average expenditure"
"at least one purchase of physical goods","86.6","1,165"
"clothing, jewellery or accessories","57.6",""
"books or magazines","29.4",""
"toys and games","29.2",""
"consumer electronics","27.2",""
"housewares","24.6",""
"non-prescription health or beauty products","18.3",""
"other physical goods ordered online","17.7",""
"home improvement or gardening supplies","14.3",""
"sports equipment","13.1",""
"food or beverages not from restaurants","12.6",""
"automotive products","12.3",""
"gift cards","9.8",""
"prescription drugs or products","5.0",""
"non-prescription cannabis","2.9",""
