"","all","all","all","males","males","males","females","females","females","12- to 14-year-olds","12- to 14-year-olds","12- to 14-year-olds","15- to 17-year-olds","15- to 17-year-olds","15- to 17-year-olds"
"","mean","95% ci","95% ci","mean","95% ci","95% ci","mean","95% ci","95% ci","mean","95% ci","95% ci","mean","95% ci","95% ci"
"","mean","from","to","mean","from","to","mean","from","to","mean","from","to","mean","from","to"
"accelerometer-measured","","","","","","","","","","","","","","",""
"moderate-to-vigorous physical activity","49.7","44.5","54.9","59.9","51.5","68.3","37.5","34.3","40.7","56.1","47.7","64.5","42.5","37.0","48.0"
"light physical activity","192.0","187.0","197.1","196.8","190.0","203.5","186.3","179.6","193.1","201.4","195.5","207.3","181.6","174.1","189.0"
"total physical activity","241.7","233.1","250.2","256.6","243.1","270.2","223.8","216.2","231.4","257.5","244.8","270.3","224.0","213.9","234.2"
"questionnaire-measured","","","","","","","","","","","","","","",""
"transportation","15.5","13.1","17.9","17.0","13.7","20.2","13.8","9.9","","13.4","10.9","15.8","18.0","13.6","22.3"
"recreation","31.3","25.9","36.7","32.4","25.9","38.9","29.9","23.2","36.7","35.4","28.4","42.5","26.6","21.3","32.0"
"school","25.8","21.7","29.9","26.6","21.3","31.8","24.9","19.5","30.3","30.1","24.8","35.4","21.0","15.2","26.9"
"household/occupation","5.6","3.6","7.6","7.2","3.9","10.5","3.7","2.0","5.4","2.9","1.5","4.4","8.6","4.5","12.7"
"total","78.2","70.8","85.6","83.1","74.5","91.7","72.4","62.0","82.8","81.8","72.3","91.4","74.2","65.3","83.1"
