"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"gillingham","2007-08","league one","1","0","1","0","0","0","1","0","3","0"
"arsenal","2007-08","premier league","0","0","0","0","0","0","0","0","0","0"
"arsenal","2008-09","premier league","0","0","0","0","0","0","0","0","0","0"
"arsenal","2009-10","premier league","0","0","0","0","0","0","0","0","0","0"
"arsenal","2010-11","premier league","0","0","0","0","0","0","0","0","0","0"
"arsenal","2011-12","premier league","0","0","0","0","0","0","0","0","0","0"
"arsenal","total","total","0","0","0","0","0","0","0","0","0","0"
"yeovil town","2010-11","league one","13","2","0","0","1","0","1","0","15","2"
"stevenage","2011-12","league one","26","7","4","0","0","0","2","0","32","7"
"stevenage","2012-13","league one","39","2","1","0","2","0","1","0","43","2"
"stevenage","2013-14","league one","45","6","4","1","2","1","3","0","54","8"
"stevenage","total","total","110","15","9","1","4","1","6","0","129","17"
"bristol city","2014-15","league one","46","7","5","0","0","0","5","0","56","7"
"bristol city","2015-16","championship","41","1","2","0","1","0","-","-","44","1"
"bristol city","2016-17","championship","18","2","0","0","3","0","-","-","21","2"
"bristol city","total","total","105","10","7","0","4","0","5","0","121","10"
"queens park rangers","2016-17","championship","16","2","0","0","-","-","16","2","none","none"
"queens park rangers","2017-18","championship","45","5","1","0","2","0","-","-","48","5"
"queens park rangers","2018-19","championship","43","7","4","0","1","1","-","-","48","8"
"queens park rangers","total","total","104","14","5","0","3","1","-","-","112","15"
"career total","career total","career total","320","39","21","1","12","1","13","0","379","44"
