"experiences","women","men","total"
"experiences","rate","rate","rate"
"childhood physical or sexual abuse before age 15","","",""
"yes","65","10","36"
"no","24","f","15"
"childhood physical abuse before age 15","","",""
"yes","64","10","33"
"no","28","f","17"
"childhood sexual abuse before age 15","","",""
"yes","85","f","70"
"no","30","5","17"
"homelessness","","",""
"yes","100","f","54"
"no","31","5","18"
"stalking in the past 12 months","","",""
"yes","246","f","182"
"no","29","4","17"
"total","37","5","22"
