"year","single","chart positions","chart positions","chart positions","chart positions","chart positions","chart positions","chart positions","certifications","album"
"year","single","aus","bel","ger","nl","swi","uk","us dance","certifications","album"
"1989","mainstream","97","-","-","-","-","-","-","","homeland movement"
"1991","treaty","11","9","-","29","33","72","6","aria: gold","tribal voice"
"1992","djapana","13","-","-","-","-","-","27","aria: gold","tribal voice"
"1992","tribal voice","51","-","-","-","-","-","-","","tribal voice"
"1993","world turning","56","-","-","-","-","-","-","","freedom"
"1994","timeless land","148","-","-","-","-","-","-","","freedom"
"1996","superhighway","-","-","-","-","-","-","-","","birrkuta - wild honey"
"1998","tribal voice","-","-","44","-","-","-","-","","one blood"
"2000","community life","99","-","-","-","-","-","-","","garma"
"2000",""treaty","-","-","-","-","-","96","-","","non-album single"
""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart"
