"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"zamora","2013-14","primera division","3","0","0","0","0","0","-","-","3","0"
"zamora","2014-15","primera division","27","3","0","0","5","0","-","-","32","3"
"zamora","2015","primera division","21","12","3","0","2","1","-","-","26","13"
"zamora","2016","primera division","33","6","1","1","4","1","-","-","38","8"
"zamora","total","total","84","21","4","1","11","2","-","-","99","24"
"huachipato","2016-17","primera division","8","0","0","0","-","-","8","0","none","none"
"huachipato","2017","primera division","14","2","7","4","-","-","21","6","none","none"
"huachipato","total","total","22","2","7","4","-","-","29","6","none","none"
"universidad de chile","2018","primera division","26","5","6","2","5","0","-","-","37","7"
"santos","2019","serie a","1","0","6","1","2","1","9","1","18","3"
"career total","career total","career total","133","28","23","8","18","3","9","1","183","40"
