"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"brentford","2009-10","league one","29","2","3","1","0","0","1","0","33","3"
"brentford","2010-11","league one","30","3","1","0","3","0","6","0","40","3"
"brentford","2011-12","league one","28","4","2","0","0","0","1","0","31","4"
"brentford","2012-13","league one","7","0","2","0","0","0","2","0","11","0"
"brentford","total","total","94","9","8","1","3","0","10","0","115","10"
"gillingham","2012-13","league two","5","0","0","0","0","0","0","0","5","0"
"gillingham","2012-13","league two","17","2","0","0","0","0","0","0","17","2"
"gillingham","2013-14","league one","37","2","1","0","1","0","1","0","40","2"
"gillingham","2014-15","league one","22","4","1","0","2","0","5","0","30","4"
"gillingham","total","total","76","8","2","0","3","0","6","0","87","8"
"cambridge united","2015-16","league two","39","3","1","0","0","0","0","0","40","3"
"cambridge united","2016-17","league two","44","6","4","1","1","0","3","0","52","7"
"cambridge united","2017-18","league two","27","2","2","0","1","0","2","0","32","2"
"cambridge united","total","total","110","11","7","1","2","0","5","0","124","12"
"port vale","2018-19","league two","34","1","1","0","1","0","0","0","36","1"
"career total","career total","career total","319","29","18","2","9","0","21","0","367","31"
