"","1999","2005","2012","2016"
"","percent","percent","percent","percent"
"major income recipient aged 25 to 44","","","",""
"canadian by birth","12.5","19.1","20.9","20.1"
"immigrant in canada less than 10 years","17.6","13.5","19.0","21.2"
"major income recipient aged 35 to 54","","","",""
"canadian by birth","10.3","14.4","17.8","17.5"
"immigrant in canada 10 to 19 years","12.4","18.4","11.1","16.5"
"major income recipient aged 45 to 64","","","",""
"canadian by birth","9.3","12.2","16.0","15.9"
"immigrant in canada 20 or more years","9.5","20.1","25.2","21.7"
