"nationality","passengers","passengers","crew","crew","total","total"
"nationality","total","killed","total","killed","total","killed"
"australia","1","0","0","0","1","0"
"cambodia","1","0","0","0","1","0"
"canada","1","0","0","0","1","0"
"germany","1","0","0","0","1","0"
"india","11","10","0","0","11","10"
"indonesia","5","1","0","0","5","1"
"ireland","1","0","0","0","1","0"
"japan","1","1","0","0","1","1"
"malaysia","8","4","1","0","9","4"
"mexico","3","0","0","0","3","0"
"netherlands","1","1","0","0","1","1"
"new zealand","2","0","0","0","2","0"
"philippines","1","1","0","0","1","1"
"singapore","11","8","17","4","28","12"
"spain","1","0","0","0","1","0"
"republic of china","55","26","2","0","57","26"
"thailand","2","0","0","0","2","0"
"united kingdom","4","2","0","0","4","2"
"united states","47","24","0","0","47","24"
"vietnam","2","1","0","0","2","1"
"total","159","79","20","4","179","83"
